playerID,yearID,stint,teamID,lgID,G,AB,R,H,B,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,BA,SLG,OBP,OPS
encared01,2019,2,NYA,AL,44,177,33,44,20,11,0,13,37.0,0.0,0.0,17,48.0,1.0,3.0,0.0,0.0,1.0,0.24858757062146894,0.5310734463276836,0.3248730964467005,0.8559465427743841
engelad01,2019,1,CHA,AL,89,227,26,55,37,10,2,6,26.0,3.0,3.0,14,78.0,0.0,6.0,1.0,0.0,5.0,0.2422907488986784,0.3832599118942731,0.30364372469635625,0.6869036365906294
fletcda02,2019,1,LAA,AL,154,596,83,173,133,30,4,6,49.0,8.0,3.0,55,64.0,2.0,0.0,1.0,1.0,8.0,0.2902684563758389,0.38422818791946306,0.3496932515337423,0.7339214394532054
fordmi01,2019,1,NYA,AL,50,143,30,37,18,7,0,12,25.0,0.0,0.0,17,28.0,2.0,3.0,0.0,0.0,0.0,0.25874125874125875,0.5594405594405595,0.3496932515337423,0.9091338109743018
forsylo01,2019,1,TEX,AL,101,317,38,72,47,17,1,7,39.0,2.0,0.0,44,100.0,0.0,3.0,0.0,2.0,8.0,0.22712933753943218,0.35331230283911674,0.3251366120218579,0.6784489148609747
frazicl01,2019,1,NYA,AL,69,225,31,60,34,14,0,12,38.0,1.0,2.0,16,70.0,1.0,2.0,0.0,3.0,2.0,0.26666666666666666,0.4888888888888889,0.3170731707317073,0.8059620596205962
freemmi01,2019,1,CLE,AL,75,177,27,49,37,8,0,4,24.0,1.0,2.0,22,61.0,0.0,4.0,6.0,4.0,2.0,0.2768361581920904,0.3898305084745763,0.36231884057971014,0.7521493490542864
gallaca01,2019,1,KCA,AL,45,126,14,30,20,7,0,3,12.0,0.0,1.0,11,28.0,0.0,3.0,1.0,1.0,3.0,0.23809523809523808,0.36507936507936506,0.3120567375886525,0.6771361026680176
gallojo01,2019,1,TEX,AL,70,241,54,61,23,15,1,22,49.0,4.0,2.0,52,114.0,4.0,2.0,1.0,1.0,0.0,0.25311203319502074,0.5975103734439834,0.3885135135135135,0.9860238869574969
galvifr01,2019,1,TOR,AL,115,450,55,120,77,24,1,18,54.0,4.0,1.0,21,112.0,1.0,0.0,1.0,1.0,11.0,0.26666666666666666,0.4444444444444444,0.298728813559322,0.7431732580037664
garciav01,2019,1,TBA,AL,125,489,61,138,91,25,2,20,72.0,10.0,4.0,31,125.0,2.0,7.0,0.0,3.0,15.0,0.2822085889570552,0.46421267893660534,0.3320754716981132,0.7962881506347186
garcile02,2019,1,CHA,AL,140,577,93,161,123,27,3,8,40.0,15.0,5.0,21,139.0,0.0,6.0,11.0,3.0,6.0,0.27902946273830154,0.3778162911611785,0.30971993410214166,0.6875362252633201
gardnbr01,2019,1,NYA,AL,141,491,86,123,62,26,7,28,74.0,10.0,2.0,52,108.0,0.0,4.0,0.0,3.0,6.0,0.2505091649694501,0.5030549898167006,0.32545454545454544,0.828509535271246
garvemi01,2019,1,MIN,AL,93,311,70,85,37,16,1,31,67.0,0.0,0.0,41,87.0,0.0,5.0,0.0,2.0,5.0,0.2733118971061093,0.6302250803858521,0.3649025069637883,0.9951275873496404
goinsry01,2019,1,CHA,AL,52,144,13,36,27,6,1,2,10.0,0.0,1.0,17,44.0,1.0,1.0,1.0,0.0,7.0,0.25,0.3472222222222222,0.3333333333333333,0.6805555555555556
gonzama01,2019,1,MIN,AL,114,425,52,112,78,19,0,15,55.0,1.0,0.0,31,98.0,2.0,6.0,0.0,1.0,7.0,0.2635294117647059,0.41411764705882353,0.32181425485961124,0.7359319019184347
goodrni01,2019,1,DET,AL,112,423,61,105,61,27,5,12,45.0,12.0,3.0,46,138.0,1.0,1.0,0.0,2.0,7.0,0.24822695035460993,0.42080378250591016,0.3220338983050847,0.7428376808109949
goodwbr01,2019,1,LAA,AL,136,413,65,108,59,29,3,17,47.0,7.0,3.0,38,129.0,2.0,3.0,1.0,3.0,3.0,0.26150121065375304,0.46973365617433416,0.32603938730853393,0.795773043482868
gordoal01,2019,1,KCA,AL,150,556,77,148,103,31,1,13,76.0,5.0,3.0,51,100.0,4.0,19.0,1.0,6.0,13.0,0.26618705035971224,0.39568345323741005,0.3449367088607595,0.7406201620981696
gordode01,2019,1,SEA,AL,117,393,36,108,87,12,6,3,34.0,22.0,5.0,18,61.0,1.0,1.0,3.0,6.0,8.0,0.2748091603053435,0.35877862595419846,0.3038277511961722,0.6626063771503707
gourryu01,2019,1,HOU,AL,144,564,85,168,95,40,2,31,104.0,5.0,3.0,37,65.0,2.0,5.0,0.0,6.0,12.0,0.2978723404255319,0.5407801418439716,0.3431372549019608,0.8839173967459324
